"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-04","89","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-05","91","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-06","90","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-07","92","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-08","92","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-09","96","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-10","97","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-11","90","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-12","92","57",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-13","90","57",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-14","90","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-15","90","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-16","90","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-17","90","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-18","92","66",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-19","91","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-20","92","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-21","93","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-22","95","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-23","96","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-24","91","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-25","89","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-26","93","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-27","82","70",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-28","89","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-29","90","79",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-30","89","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-01","93","78","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-02","94","79",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-03","96","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-04","97","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-05","99","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-06","100","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-07","96","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-08","97","79",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-09","98","80",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-10","97","79",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-11","101","78",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-12","107","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-13","101","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-14","105","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-15","103","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-16","100","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-17","98","78",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-18","99","73",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-19","95","70",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-20","97","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-21","97","73",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-22","96","73",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-23","98","79",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-24","99","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-25","98","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-26","89","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-27","93","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-28","95","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-29","98","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-30","95","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-07-31","95","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-01","98","71","73"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-02","97","69",
